index,data
0,"['CAB61635.1', 'CAB61641.1', 'CAB61637.1', 'CAB61645.1']"
1,[]
2,[]
3,[]
4,"['CAB55427.1', 'WP_063859570.1']"
5,"['AAL85333.1', 'WP_063860833.1', 'WP_063860834.1']"
6,"['BAL40892.1', 'BAL40895.1', 'BAL40893.1', 'BAL40894.1']"
7,[]
8,[]
9,"['AAA92126.1', 'CAA90891.1']"
10,[]
11,[]
12,[]
13,[]
14,"['APY23733.1', 'APY23865.1', 'APY23841.1', 'APY23844.1', 'APY23838.1']"
15,[]
16,[]
17,[]
18,[]
19,[]
20,[]
21,[]
22,[]
23,[]
24,[]
25,[]
26,"['CAA79967.1', 'WP_064190970.1', 'ABA00479.1', 'WP_194293133.1', 'WP_077064887.1', 'WP_060571602.1', 'WP_094009816.1', 'WP_063860570.1']"
27,[]
28,"['AAA21532.1', 'WP_008659027.1', 'WP_063865204.1', 'WP_032579291.1']"
29,[]
30,[]
31,"['AAB17891.1', 'AAD23513.1', '70e09702-0901-4087-ac21-e0f19aa88166', 'AAV37205.1', 'AAL79549.2', 'AAV37206.1']"
32,[]
33,"['CAA37052.1', 'QSX93372.1', 'MWQ02887.1', 'PNP96721.1', 'OOS23853.1', 'OOS22656.1', 'AWU47610.1', 'AGH37381.1']"
34,[]
35,"['CAG25812.2', 'ACL68095.1', 'ACL68096.1', 'CAJ19599.1', 'CAJ19601.1', 'CAJ19607.1', 'CAJ19602.1', 'CAG25815.2']"
36,"['WP_023289605.1', 'ACN65418.1', 'CAJ19606.1', 'CAP12354.2', 'CAP12353.2']"
37,"['CAJ19608.1', 'CAJ19605.1']"
38,"['CAA82916.1', 'AAL78275.1', 'CAI43413.1', 'AAL78276.1', 'CAI43422.1', 'CAI43423.1', 'CAI43424.1', 'CAI43425.1', 'AAL78161.1']"
39,"['CAI43417.1', 'CAI43419.1']"
40,[]
41,"['AAZ04368.1', 'ACV69996.1', 'ACT09140.1', 'WP_065158950.1']"
42,"['WP_150823466.1', 'AAA25741.1', 'WP_063857838.1', 'AAK96394.1', 'WP_188331863.1']"
43,"['WP_128268233.1', 'ACJ61335.1', 'WP_179284317.1', 'CCW43444.1', 'WP_068981631.1', 'AAF61417.1', 'AAO59455.1', 'AFI72872.1']"
44,[]
45,[]
46,"['BCY26593.1', 'AAR97271.1', 'UUF81220.1', 'WP_085562419.1', 'WP_122630827.1', 'ACZ54536.1', 'WP_102607460.1', 'BDB58073.1', 'BAD08689.1', 'ADZ48685.1', 'AAP22974.1', 'AAK58421.1', 'BAD06399.1', 'WP_197749401.1', 'BDI54505.1', 'WP_063860512.1', 'AAR97270.1', 'ACZ98826.1', 'WP_063860513.1', 'ADC91899.1', 'AFK80745.1', 'AAY43207.1', 'BAP75641.1', 'UQM94989.1', 'WP_123002100.1', 'WP_063860514.1', 'AEZ05108.1', 'AFU25739.1', 'BCT36863.1', 'ACS44714.1', 'WP_188331869.1', 'WP_148044414.1', 'BDB58072.1', 'WP_111273850.1', 'AAF27723.1', 'UUT09019.1', 'UOM32505.1', 'WP_122630826.1', 'WP_063860510.1']"
47,"['AEX59144.1', 'BCT36862.1', 'AGT20529.1', 'UYS49421.1', 'CBG22732.1', 'WP_111273848.1', 'ADJ94120.1']"
48,"['AJP67510.1', 'AEZ05107.1', 'WP_111273849.1', 'WP_063860517.1', 'AAK18183.1']"
49,"['QHA33651.1', 'WP_179284324.1', '118bc7a7-b1f9-4671-a283-08b5501e618c', 'AAK70220.1', 'QRM14288.1', 'ADZ75467.1', 'UAY85936.1', 'WP_188331875.1', 'ADH95186.1', 'ACB71165.1', 'URC16703.1', 'AKO63215.1', 'ANY26940.1', 'QGT31448.1', 'AYP70144.1', 'WP_204376230.1', 'UAZ57792.1', 'QBC75465.1', 'ABY91240.1', 'WP_188331872.1', 'AAL05630.1', 'AXC08545.1', 'ACI95258.1', 'AWU66461.1', 'WP_179284322.1', 'AGJ01154.1', 'AXL13972.1', 'AYR04937.1', 'AGJ01153.1', 'ACA34343.1', 'QUR41142.1', 'QDM39441.1', 'QBO66649.1', 'WP_179284328.1', 'AIH07017.1', 'WP_204376229.1', 'AEA73284.1', 'ACS35345.1', 'ACE62798.1', 'QIS31290.1', 'AQT03460.1', 'WP_202781289.1', 'WP_197749403.1', 'AKQ06274.1', 'WP_204376233.1', 'QFX75995.1', 'WP_204376234.1', 'AQM40193.1', 'WP_065419571.1', 'WP_188331874.1', 'UAY85937.1', 'QIC04092.1', 'QBC36180.1', 'AGF70638.1', 'QGJ02578.1', 'QYZ75849.1', 'QYE52346.1']"
50,"['QGT31449.1', 'OKL07573.1', 'QYE52347.1', 'AUD37084.1', 'OKK72649.1', 'QJD09264.1', 'AWR93230.1', 'QED08959.1', 'WP_248496376.1', 'WP_194293136.1']"
51,"['AIX87991.1', 'WP_063860711.1', 'AOR05747.1', 'UBJ91320.1', 'QUR41143.1']"
52,"['CAA79968.1', 'WP_136512105.1', 'AAU89132.1', 'WP_168247906.1', 'WP_063864597.1', 'WP_104009831.1', 'WP_001100752.1', 'WP_063864594.1']"
53,"['CAA63714.1', 'WP_156404659.1']"
54,"['AEI54993.1', 'WP_063864596.1', 'ACE77058.1']"
55,"['CAA82281.1', 'AHV85514.1', 'AHA49908.1', 'AAS92558.1', 'AAG29813.1']"
