index,data
0,"1,0.9999999403953552,0.9998859167098999,0.9995949268341064,0.9994914531707764"
1,1
2,1
3,1
4,"1,1.0,0.9997101426124573"
5,"1,1.0,0.9994068741798401,0.9990105628967285"
6,"1,1.0,0.999768853187561,0.9997227191925049,0.9996646046638489"
7,1
8,1
9,"1,0.9999998211860657,0.999747633934021"
10,1
11,1
12,1
13,1
14,"1,0.9999999403953552,0.9997409582138062,0.999578058719635,0.9994933009147644,0.9994432926177979"
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,"1,1.0,0.999516487121582,0.999488353729248,0.9994738101959229,0.9994291067123413,0.9994045495986938,0.9993188381195068,0.999306321144104"
27,1
28,"1,0.9999998807907104,0.9998289942741394,0.9996924996376038,0.9996728897094727"
29,1
30,1
31,"1,1.0,0.9998787641525269,0.9997761845588684,0.9997761845588684,0.9997150897979736,0.9995982050895691"
32,1
33,"1,1.0,0.9999063611030579,0.9998791813850403,0.9998363256454468,0.9995531439781189,0.9994994401931763,0.9994452595710754,0.999443769454956"
34,1
35,"1,0.9999999403953552,0.9997197985649109,0.9996245503425598,0.9996225833892822,0.9995743036270142,0.9995533227920532,0.9995236396789551,0.9992890357971191"
36,"1,0.9997936487197876,0.9997310638427734,0.999492883682251,0.9994744062423706,0.9992011189460754"
37,"1,0.9996126294136047,0.9995423555374146"
38,"1,1.0,0.9999784827232361,0.9999112486839294,0.9998306632041931,0.9996659755706787,0.9996598362922668,0.999622642993927,0.9995802640914917,0.9993419647216797"
39,"1,0.9993054866790771,0.9992142915725708"
40,1
41,"1,1.0,0.9999350309371948,0.9999074935913086,0.9999024868011475"
42,"1,1.0,0.999941349029541,0.9998701214790344,0.9998214244842529,0.999682605266571"
43,"1,1.0,0.9999538064002991,0.9998852610588074,0.99977046251297,0.9997361898422241,0.9997140765190125,0.9996654391288757,0.9994692206382751"
44,1
45,1
46,"1,1.0,0.9998281598091125,0.999805748462677,0.9998005628585815,0.9997744560241699,0.9997645616531372,0.9997409582138062,0.9997355937957764,0.999722421169281,0.9997143745422363,0.9997023940086365,0.9996817708015442,0.9996713399887085,0.9996697902679443,0.9996456503868103,0.9996455311775208,0.999631404876709,0.999630331993103,0.9996298551559448,0.999624490737915,0.9995952844619751,0.9995695352554321,0.9995694756507874,0.99956876039505,0.9995503425598145,0.9995474219322205,0.9995430707931519,0.9995285272598267,0.9995030164718628,0.9994946718215942,0.9994825720787048,0.9994785785675049,0.9994705319404602,0.9994677305221558,0.9994511008262634,0.9994503855705261,0.9993139505386353,0.9992954730987549,0.9990527033805847"
47,"1,0.9993930459022522,0.9993802309036255,0.9993283748626709,0.9993221163749695,0.999320387840271,0.9993138313293457,0.9992519021034241"
48,"1,0.9996171593666077,0.9995831847190857,0.9995190501213074,0.9994704127311707,0.999455451965332"
49,"1,1.0,0.9999394416809082,0.9999291896820068,0.9999291896820068,0.9999285340309143,0.9998962879180908,0.9998838305473328,0.9998782873153687,0.9998605251312256,0.9998548626899719,0.9998393058776855,0.9998367428779602,0.9998334646224976,0.9998257756233215,0.9998068809509277,0.9998046159744263,0.9997982382774353,0.9997930526733398,0.9997923374176025,0.9997913837432861,0.9997881054878235,0.9997836351394653,0.9997833967208862,0.9997655749320984,0.9997548460960388,0.9997450113296509,0.9997317790985107,0.9997292160987854,0.9997250437736511,0.999703049659729,0.9996916055679321,0.999689519405365,0.9996774792671204,0.999673068523407,0.999667227268219,0.9996621608734131,0.9996578097343445,0.9996421337127686,0.9996387958526611,0.9996026754379272,0.9995875954627991,0.9995847940444946,0.9995629787445068,0.9995317459106445,0.9995137453079224,0.9995118379592896,0.9995026588439941,0.9993518590927124,0.9993104338645935,0.9992705583572388,0.9992626905441284,0.9992532134056091,0.9992493987083435,0.9992391467094421,0.9992130994796753,0.9991447925567627,0.9991012811660767"
50,"1,1.0,0.9994462132453918,0.9993909597396851,0.9993482232093811,0.999326765537262,0.9992622137069702,0.9991622567176819,0.9991495609283447,0.9990541934967041,0.9990519881248474"
51,"1,0.99966961145401,0.9996633529663086,0.9996364712715149,0.9996172189712524,0.9995344281196594"
52,"1,1.0,0.9999563694000244,0.9999387264251709,0.9999210834503174,0.9998878240585327,0.9997614622116089,0.9997375011444092,0.9996570348739624"
53,"1,1.0,0.999455451965332"
54,"1,0.9996176958084106,0.9994685649871826,0.9994018077850342"
55,"1,1.0,0.999859094619751,0.9998424053192139,0.9996920824050903,0.9995163679122925"
56,"1,1.0,0.9999353289604187,0.9999227523803711,0.9998832941055298,0.9998672008514404,0.9998422265052795,0.9998043179512024,0.9998020529747009,0.9998127222061157,0.9997974634170532,0.9997745156288147"
57,"1,0.999727189540863,0.9996189475059509,0.9995477795600891,0.9995135068893433,0.9994939565658569"
